Metric,benchmark,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,100.0%,13.0%
,,
Total Return,36.34%,39.84%
CAGR% (Annual Return),36.37%,39.88%
,,
Sharpe,0.27,1.19
RoMaD,0.0,2.36
Corr to Benchmark,1.0,0.35
Prob. Sharpe Ratio,32.39%,72.92%
Smart Sharpe,0.2,0.9
Sortino,0.4,2.84
Smart Sortino,0.31,2.16
Sortino/√2,0.29,2.01
Smart Sortino/√2,0.22,1.53
Omega,1.76,1.76
,,
Max Drawdown,-45.30%,-18.47%
Longest DD Days,325,108
Volatility (ann.),66.38%,30.66%
R^2,0.12,0.12
Information Ratio,0.02,0.02
Calmar,0.0,2.36
Skew,0.75,5.51
Kurtosis,3.93,47.83
,,
Expected Daily%,0.0%,0.1%
Expected Monthly%,0.01%,2.83%
Expected Yearly%,0.05%,18.26%
Daily Value-at-Risk,-5.66%,-2.53%
Expected Shortfall (cVaR),-5.66%,-2.53%
,,
MTD,-6.44%,-10.1%
3M,18.19%,-6.17%
6M,-6.08%,-7.0%
YTD,-6.44%,-10.1%
1Y,0.11%,39.84%
3Y (ann.),0.12%,43.52%
5Y (ann.),0.12%,43.52%
10Y (ann.),0.12%,43.52%
All-time (ann.),0.12%,43.52%
,,
Best Day,19.23%,15.16%
Worst Day,-10.26%,-6.77%
Best Month,47.4%,23.7%
Worst Month,-22.23%,-10.1%
Best Year,7.0%,55.55%
Worst Year,-6.44%,-10.1%
,,
Avg. Drawdown,-9.97%,-7.26%
Avg. Drawdown Days,66,59
Recovery Factor,0.45,2.04
Ulcer Index,0.25,0.05
Serenity Index,0.05,1.07
,,
Avg. Up Month,22.15%,11.21%
Avg. Down Month,-6.64%,-6.53%
Win Days,176.0,186.19
Loss Days,164.0,153.81
Win Days%,51.76%,54.76%
Win Month%,41.67%,66.67%
Win Quarter%,40.0%,80.0%
Win Year%,50.0%,50.0%
,,
Beta,-,0.16
Alpha,-,0.37
Correlation,-,34.67%
Treynor Ratio,-,222.74%
