time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2023-02-15 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_1,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-02-15 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_1,ETH,buy,market,fill,1618.93,79.91737772641207,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-02-17 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_2,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-02-17 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_2,ETH,sell,market,fill,1664.54,79.91737772641207,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-03-13 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_3,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-03-13 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_3,ETH,buy,market,fill,1598.23,84.25299167330945,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-03-13 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_4,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-03-13 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_4,ETH,sell,market,fill,1665.91,84.25299167330945,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-03-14 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_5,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-03-14 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_5,ETH,buy,market,fill,1741.3,81.47442746355117,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-03-14 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_6,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-03-14 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_6,ETH,sell,market,fill,1698.14,81.47442746355117,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-03-31 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_7,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-03-31 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_7,ETH,buy,market,fill,1819.76,75.52945264969378,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-04-03 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_8,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-04-03 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_8,ETH,sell,market,fill,1797.78,75.52945264969378,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-06-21 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_9,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-06-21 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_9,ETH,buy,market,fill,1895.452,71.5950815162523,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-06-23 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_10,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-06-23 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_10,ETH,sell,market,fill,1876.3361365,71.5950815162523,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-07-13 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_11,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-07-13 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_11,ETH,buy,market,fill,1990.97690352,67.36041921961717,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-07-14 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_12,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-07-14 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_12,ETH,sell,market,fill,1929.93100101,67.36041921961717,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-10-16 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_13,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2023-10-16 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_13,ETH,buy,market,fill,1595.4,80.41684049984637,1,0.0,0.0,gtc,,0.0,1,,crypto,
2023-10-17 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_14,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
