time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2023-02-15 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-02-15 19:30:00+00:00,buy,fill,79.91737772641207,ETH,crypto,,0.0,,1618.93,market,1,0.0,0.0
2023-02-17 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-02-17 14:30:00+00:00,sell,fill,79.91737772641207,ETH,crypto,,0.0,,1664.54,market,1,0.0,0.0
2023-03-13 13:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-03-13 13:30:00+00:00,buy,fill,84.25299167330945,ETH,crypto,,0.0,,1598.23,market,1,0.0,0.0
2023-03-13 17:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-03-13 17:30:00+00:00,sell,fill,84.25299167330945,ETH,crypto,,0.0,,1665.91,market,1,0.0,0.0
2023-03-14 13:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-03-14 13:30:00+00:00,buy,fill,81.47442746355117,ETH,crypto,,0.0,,1741.3,market,1,0.0,0.0
2023-03-14 19:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-03-14 19:30:00+00:00,sell,fill,81.47442746355117,ETH,crypto,,0.0,,1698.14,market,1,0.0,0.0
2023-03-31 13:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-03-31 13:30:00+00:00,buy,fill,75.52945264969378,ETH,crypto,,0.0,,1819.76,market,1,0.0,0.0
2023-04-03 15:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-04-03 15:30:00+00:00,sell,fill,75.52945264969378,ETH,crypto,,0.0,,1797.78,market,1,0.0,0.0
2023-06-21 16:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-06-21 16:30:00+00:00,buy,fill,71.5950815162523,ETH,crypto,,0.0,,1895.452,market,1,0.0,0.0
2023-06-23 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-06-23 14:30:00+00:00,sell,fill,71.5950815162523,ETH,crypto,,0.0,,1876.3361365,market,1,0.0,0.0
2023-07-13 18:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-07-13 18:30:00+00:00,buy,fill,67.36041921961717,ETH,crypto,,0.0,,1990.97690352,market,1,0.0,0.0
2023-07-14 18:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-07-14 18:30:00+00:00,sell,fill,67.36041921961717,ETH,crypto,,0.0,,1929.93100101,market,1,0.0,0.0
2023-10-16 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-10-16 19:30:00+00:00,buy,fill,80.41684049984637,ETH,crypto,,0.0,,1595.4,market,1,0.0,0.0
2023-10-17 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-10-17 14:30:00+00:00,sell,fill,80.41684049984637,ETH,crypto,,0.0,,1573.95,market,1,0.0,0.0
2023-10-23 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-10-23 19:30:00+00:00,buy,fill,74.29985260586189,ETH,crypto,,0.0,,1697.85,market,1,0.0,0.0
2023-10-24 15:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-10-24 15:30:00+00:00,sell,fill,74.29985260586189,ETH,crypto,,0.0,,1788.9055,market,1,0.0,0.0
2023-11-01 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-01 19:30:00+00:00,buy,fill,72.88302852296249,ETH,crypto,,0.0,,1845.7,market,1,0.0,0.0
2023-11-02 15:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-02 15:30:00+00:00,sell,fill,72.88302852296249,ETH,crypto,,0.0,,1804.965,market,1,0.0,0.0
2023-11-09 15:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-09 15:30:00+00:00,buy,fill,64.93401006147283,ETH,crypto,,0.0,,2012.7,market,1,0.0,0.0
2023-11-14 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-14 14:30:00+00:00,sell,fill,64.93401006147283,ETH,crypto,,0.0,,2048.595,market,1,0.0,0.0
2023-11-22 18:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-22 18:30:00+00:00,buy,fill,65.15460737741356,ETH,crypto,,0.0,,2052.7,market,1,0.0,0.0
2023-11-27 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-11-27 14:30:00+00:00,sell,fill,65.15460737741356,ETH,crypto,,0.0,,2018.725,market,1,0.0,0.0
2023-12-07 16:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-12-07 16:30:00+00:00,buy,fill,55.882851802787314,ETH,crypto,,0.0,,2345.195,market,1,0.0,0.0
2023-12-11 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2023-12-11 14:30:00+00:00,sell,fill,55.882851802787314,ETH,crypto,,0.0,,2221.735,market,1,0.0,0.0
2024-01-10 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2024-01-10 19:30:00+00:00,buy,fill,49.577595905232435,ETH,crypto,,0.0,,2463.425,market,1,0.0,0.0
2024-01-11 16:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2024-01-11 16:30:00+00:00,sell,fill,49.577595905232435,ETH,crypto,,0.0,,2579.9485,market,1,0.0,0.0
2024-01-11 19:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2024-01-11 19:30:00+00:00,buy,fill,49.786142597710366,ETH,crypto,,0.0,,2606.045,market,1,0.0,0.0
2024-01-16 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2024-01-16 14:30:00+00:00,sell,fill,49.786142597710366,ETH,crypto,,0.0,,2528.526,market,1,0.0,0.0
